
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-08-06 13:54:49 .................................................................................... ~ 512.62ms
  2026-08-06 13:54:50 ...................................................................................... ~ 0.18ms
  2026-08-06 13:54:55 ...................................................................................... ~ 2.22ms
  2026-08-06 13:54:55 ...................................................................................... ~ 0.17ms
  2026-08-06 13:54:56 .......................................................................................... ~ 6s
  2026-08-06 13:55:02 .................................................................................... ~ 512.54ms
  2026-08-06 13:55:02 ...................................................................................... ~ 0.19ms
  2026-08-06 13:55:03 ...................................................................................... ~ 2.19ms
  2026-08-06 13:55:03 ...................................................................................... ~ 3.41ms
  2026-08-06 13:55:03 ...................................................................................... ~ 4.68ms
  2026-08-06 13:55:03 .................................................................................... ~ 515.30ms
  2026-08-06 13:55:03 .................................................................................... ~ 516.58ms
  2026-08-06 13:55:03 .................................................................................... ~ 514.65ms
  2026-08-06 13:55:03 ...................................................................................... ~ 1.37ms
  2026-08-06 13:55:04 .................................................................................... ~ 508.41ms
  2026-08-06 13:55:04 .................................................................................... ~ 508.59ms
  2026-08-06 13:55:04 ...................................................................................... ~ 1.81ms
  2026-08-06 13:55:04 .................................................................................... ~ 508.70ms
  2026-08-06 13:55:04 .................................................................................... ~ 508.86ms
  2026-08-06 13:55:04 ...................................................................................... ~ 1.31ms
  2026-08-06 13:55:05 .................................................................................... ~ 510.05ms
  2026-08-06 13:55:05 .................................................................................... ~ 510.12ms
  2026-08-06 13:55:05 ...................................................................................... ~ 1.30ms
  2026-08-06 13:55:05 .................................................................................... ~ 504.73ms
  2026-08-06 13:55:05 .................................................................................... ~ 504.79ms
  2026-08-06 13:55:06 .................................................................................... ~ 512.01ms
  2026-08-06 13:55:06 .................................................................................... ~ 512.05ms
  2026-08-06 13:55:06 ...................................................................................... ~ 1.67ms
  2026-08-06 13:55:06 ...................................................................................... ~ 1.40ms
  2026-08-06 13:55:06 .................................................................................... ~ 512.49ms
  2026-08-06 13:55:06 ...................................................................................... ~ 0.15ms
  2026-08-06 13:55:07 ...................................................................................... ~ 0.14ms
  2026-08-06 13:55:07 ...................................................................................... ~ 2.28ms
  2026-08-06 13:55:07 ...................................................................................... ~ 0.15ms
  2026-08-06 13:55:08 .................................................................................... ~ 513.28ms
  2026-08-06 13:55:08 .................................................................................... ~ 515.02ms
  2026-08-06 13:55:08 ...................................................................................... ~ 0.15ms
  2026-08-06 13:55:08 .................................................................................... ~ 508.56ms
  2026-08-06 13:55:08 ...................................................................................... ~ 0.18ms
  2026-08-06 13:55:08 ...................................................................................... ~ 1.30ms
  2026-08-06 13:55:08 ...................................................................................... ~ 2.42ms
  2026-08-06 13:55:08 .................................................................................... ~ 511.31ms
  2026-08-06 13:55:09 ...................................................................................... ~ 0.17ms
